epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.24996,5.18581,6.45623,3.84122,0.02869,0.05542,0.03189,0.0203,5.39151,7.94617,5.10312,0.00029561,0.00029561,0.00029561
2,12.3606,4.0743,4.75867,3.1433,0.60882,0.22982,0.24978,0.12211,3.3945,4.007,3.05805,0.000592684,0.000592684,0.000592684
3,18.3645,3.68521,4.12725,2.7379,0.47145,0.34248,0.35083,0.20629,3.18235,3.11698,2.65348,0.000883758,0.000883758,0.000883758
4,24.255,3.46948,3.84532,2.64617,0.59618,0.33672,0.3811,0.23837,3.0459,2.93121,2.51082,0.000882003,0.000882003,0.000882003
5,30.1481,3.27675,3.54889,2.58199,0.49441,0.40442,0.39336,0.25438,2.9926,2.76768,2.5186,0.000873004,0.000873004,0.000873004
6,36.0182,3.20522,3.43715,2.49332,0.40864,0.47688,0.45514,0.29336,2.94547,2.63347,2.4427,0.000864004,0.000864004,0.000864004
7,41.9442,3.0978,3.1752,2.39181,0.49738,0.45093,0.45529,0.28724,2.99986,2.64742,2.43592,0.000855005,0.000855005,0.000855005
8,47.8586,3.08975,3.18227,2.38599,0.57794,0.41519,0.45676,0.29725,2.91561,2.59937,2.35887,0.000846006,0.000846006,0.000846006
9,53.7993,3.04384,3.05582,2.3243,0.38654,0.48336,0.45381,0.2972,2.85087,2.53624,2.32005,0.000837007,0.000837007,0.000837007
10,59.6141,2.92378,2.88604,2.27763,0.49728,0.5369,0.49218,0.31616,2.83293,2.61935,2.31016,0.000828008,0.000828008,0.000828008
11,65.5485,2.87158,2.77139,2.23406,0.64363,0.5357,0.53724,0.3479,2.79907,2.46951,2.27018,0.000819009,0.000819009,0.000819009
12,71.4027,2.86849,2.80122,2.22698,0.48996,0.53736,0.53491,0.34516,2.84129,2.33831,2.29278,0.00081001,0.00081001,0.00081001
13,77.1962,2.89951,2.82532,2.25846,0.44578,0.58336,0.5233,0.33377,2.79244,2.43047,2.26899,0.000801011,0.000801011,0.000801011
14,82.9332,2.82397,2.74436,2.22518,0.53416,0.56083,0.55977,0.36257,2.79477,2.46646,2.22133,0.000792012,0.000792012,0.000792012
15,88.8177,2.84684,2.6953,2.23145,0.60549,0.51925,0.5747,0.36202,2.75993,2.35998,2.21012,0.000783013,0.000783013,0.000783013
16,94.7054,2.7645,2.58554,2.17645,0.54823,0.57613,0.54985,0.3524,2.7398,2.3139,2.19964,0.000774013,0.000774013,0.000774013
17,100.482,2.74817,2.53588,2.20222,0.66841,0.5332,0.56907,0.37954,2.71506,2.26946,2.19861,0.000765014,0.000765014,0.000765014
18,106.27,2.79851,2.58274,2.21687,0.70479,0.58104,0.61065,0.37463,2.7637,2.28405,2.2091,0.000756015,0.000756015,0.000756015
19,112.272,2.75411,2.51288,2.15638,0.68716,0.5761,0.58885,0.37923,2.68604,2.30604,2.17523,0.000747016,0.000747016,0.000747016
20,118.218,2.72237,2.53545,2.1949,0.66147,0.51792,0.55525,0.35466,2.73558,2.32747,2.1996,0.000738017,0.000738017,0.000738017
21,124.002,2.7616,2.52834,2.16264,0.61879,0.5003,0.56001,0.36617,2.71413,2.3558,2.17157,0.000729018,0.000729018,0.000729018
22,129.811,2.72284,2.44546,2.16857,0.47937,0.67438,0.58906,0.37486,2.75903,2.27807,2.19696,0.000720019,0.000720019,0.000720019
23,135.603,2.65316,2.39027,2.14799,0.6257,0.58473,0.62073,0.39579,2.73004,2.16594,2.17692,0.00071102,0.00071102,0.00071102
24,141.415,2.69681,2.40196,2.13868,0.63922,0.57722,0.59544,0.38613,2.6773,2.26246,2.15432,0.000702021,0.000702021,0.000702021
25,147.319,2.67227,2.3249,2.12793,0.58922,0.59986,0.58594,0.38623,2.68554,2.32546,2.15582,0.000693022,0.000693022,0.000693022
26,153.175,2.64886,2.4334,2.14629,0.68994,0.54643,0.61756,0.40872,2.72197,2.17435,2.1444,0.000684022,0.000684022,0.000684022
27,159.01,2.65328,2.35617,2.15232,0.58164,0.64034,0.62269,0.39951,2.68976,2.26083,2.14361,0.000675023,0.000675023,0.000675023
28,164.896,2.64328,2.40967,2.10874,0.7164,0.53162,0.61223,0.38108,2.7078,2.18189,2.15602,0.000666024,0.000666024,0.000666024
29,170.711,2.73228,2.3627,2.15465,0.70347,0.54207,0.62303,0.4136,2.66304,2.21446,2.15471,0.000657025,0.000657025,0.000657025
30,176.49,2.6581,2.30764,2.14105,0.57194,0.613,0.62191,0.40299,2.6588,2.19649,2.12987,0.000648026,0.000648026,0.000648026
31,182.261,2.67135,2.29394,2.09578,0.62171,0.59951,0.62428,0.4168,2.60233,2.23371,2.11085,0.000639027,0.000639027,0.000639027
32,188.079,2.59504,2.27089,2.11723,0.65316,0.58848,0.63819,0.41634,2.64537,2.1953,2.1232,0.000630028,0.000630028,0.000630028
33,193.832,2.65691,2.28738,2.14372,0.77716,0.54152,0.64485,0.41561,2.68221,2.19818,2.12399,0.000621029,0.000621029,0.000621029
34,199.585,2.52214,2.24128,2.09183,0.61101,0.64457,0.63073,0.40924,2.6333,2.17708,2.11553,0.00061203,0.00061203,0.00061203
35,205.308,2.55473,2.2062,2.09506,0.61753,0.62047,0.62711,0.40883,2.60449,2.15439,2.1024,0.000603031,0.000603031,0.000603031
36,211.084,2.56928,2.2013,2.10692,0.57042,0.65431,0.62492,0.41163,2.64285,2.2466,2.13088,0.000594031,0.000594031,0.000594031
37,216.857,2.51133,2.18654,2.08424,0.61708,0.55073,0.62738,0.41442,2.62384,2.26424,2.10783,0.000585032,0.000585032,0.000585032
38,222.625,2.52472,2.21785,2.10139,0.58089,0.64304,0.63678,0.4152,2.64678,2.14979,2.11906,0.000576033,0.000576033,0.000576033
39,228.471,2.56301,2.20478,2.10867,0.60436,0.62953,0.63399,0.42023,2.62666,2.17826,2.11329,0.000567034,0.000567034,0.000567034
40,234.403,2.59763,2.24853,2.09639,0.66156,0.58823,0.64515,0.42279,2.6387,2.17031,2.11773,0.000558035,0.000558035,0.000558035
41,240.257,2.48881,2.13753,2.05998,0.78598,0.53641,0.64508,0.42135,2.64859,2.21539,2.1212,0.000549036,0.000549036,0.000549036
42,245.988,2.43216,2.05905,2.06592,0.73271,0.54563,0.64356,0.42007,2.62019,2.23079,2.11938,0.000540037,0.000540037,0.000540037
43,251.79,2.54269,2.12799,2.09273,0.65577,0.57086,0.63767,0.41752,2.63112,2.22131,2.1172,0.000531038,0.000531038,0.000531038
44,257.668,2.56496,2.17444,2.09768,0.6973,0.56847,0.65555,0.42901,2.63595,2.21156,2.10466,0.000522039,0.000522039,0.000522039
45,263.638,2.58733,2.19738,2.07204,0.75943,0.56143,0.65885,0.42811,2.59071,2.15437,2.10723,0.00051304,0.00051304,0.00051304
46,269.434,2.4771,2.11595,2.07055,0.74637,0.5701,0.65775,0.42881,2.58565,2.15965,2.11159,0.00050404,0.00050404,0.00050404
47,275.267,2.50919,2.17101,2.0694,0.71071,0.64034,0.65212,0.42445,2.59765,2.09049,2.10121,0.000495041,0.000495041,0.000495041
48,281.046,2.57467,2.21007,2.07405,0.57754,0.69164,0.64419,0.41898,2.59963,2.12742,2.09539,0.000486042,0.000486042,0.000486042
49,286.785,2.52712,2.09794,2.074,0.69041,0.61966,0.64558,0.42337,2.61055,2.14007,2.09654,0.000477043,0.000477043,0.000477043
50,292.629,2.50933,2.12641,2.07349,0.70716,0.59687,0.65263,0.43146,2.59146,2.12692,2.09366,0.000468044,0.000468044,0.000468044
51,298.4,2.47674,2.05874,2.03796,0.66875,0.64045,0.66826,0.4365,2.59993,2.09988,2.08658,0.000459045,0.000459045,0.000459045
52,304.159,2.44851,2.06051,2.05305,0.59723,0.72151,0.68144,0.44853,2.60702,2.14606,2.08075,0.000450046,0.000450046,0.000450046
53,309.947,2.4408,2.03416,2.03296,0.62519,0.69532,0.64685,0.43728,2.59304,2.05373,2.07883,0.000441047,0.000441047,0.000441047
54,315.759,2.45976,2.07029,2.05145,0.63799,0.66218,0.64829,0.44605,2.5669,2.11236,2.07124,0.000432048,0.000432048,0.000432048
55,321.655,2.46012,2.08553,2.05235,0.63375,0.65015,0.64589,0.43046,2.60867,2.09113,2.09803,0.000423049,0.000423049,0.000423049
56,327.553,2.46028,2.03541,2.04236,0.57581,0.70007,0.63314,0.42564,2.59829,2.12661,2.08544,0.000414049,0.000414049,0.000414049
57,333.447,2.44564,2.06227,2.04917,0.69039,0.61201,0.61636,0.41186,2.58112,2.1046,2.08256,0.00040505,0.00040505,0.00040505
58,339.225,2.40832,2.02073,2.01535,0.58387,0.69051,0.63543,0.41818,2.59863,2.12556,2.08785,0.000396051,0.000396051,0.000396051
59,345.011,2.41117,1.96131,2.02221,0.5963,0.70618,0.65152,0.42844,2.58327,2.10611,2.08294,0.000387052,0.000387052,0.000387052
60,350.778,2.42781,2.0238,2.02547,0.62921,0.67679,0.65626,0.43565,2.59936,2.10393,2.09484,0.000378053,0.000378053,0.000378053
61,356.493,2.4237,2.05055,2.04227,0.61067,0.68165,0.66404,0.43638,2.62515,2.04701,2.11131,0.000369054,0.000369054,0.000369054
62,362.234,2.49274,2.04843,2.0277,0.65216,0.65543,0.66561,0.43591,2.58075,2.08305,2.09005,0.000360055,0.000360055,0.000360055
63,368.047,2.44977,2.06522,2.05619,0.68546,0.65187,0.66983,0.44889,2.53986,2.11687,2.08705,0.000351056,0.000351056,0.000351056
64,373.966,2.46429,2.04988,2.04968,0.60664,0.68554,0.6492,0.4255,2.57574,2.06843,2.07524,0.000342057,0.000342057,0.000342057
65,379.608,2.3996,2.00804,2.03513,0.60952,0.70737,0.65941,0.43839,2.59579,2.07483,2.09671,0.000333058,0.000333058,0.000333058
66,385.264,2.43312,2.07246,2.04466,0.62088,0.72724,0.66096,0.43604,2.57391,2.0701,2.07673,0.000324058,0.000324058,0.000324058
67,390.962,2.54353,2.10549,2.04971,0.63839,0.69949,0.65899,0.44178,2.58606,2.10594,2.08114,0.000315059,0.000315059,0.000315059
68,396.622,2.43632,2.06162,2.0191,0.5588,0.71595,0.64657,0.4352,2.59251,2.13308,2.08494,0.00030606,0.00030606,0.00030606
69,402.471,2.4289,1.99921,2.0415,0.58019,0.6877,0.64024,0.42584,2.58931,2.12536,2.08878,0.000297061,0.000297061,0.000297061
70,408.286,2.43923,1.99341,2.0418,0.64954,0.68077,0.66656,0.44189,2.55389,2.08263,2.07704,0.000288062,0.000288062,0.000288062
71,414.176,2.30363,1.90181,1.98074,0.63803,0.67222,0.65725,0.42947,2.57015,2.12957,2.09025,0.000279063,0.000279063,0.000279063
72,419.856,2.43516,2.02472,2.04476,0.60867,0.70254,0.6677,0.42914,2.57819,2.09424,2.09146,0.000270064,0.000270064,0.000270064
73,425.579,2.36521,1.94739,2.0404,0.66848,0.66179,0.64967,0.43524,2.54308,2.0672,2.06817,0.000261065,0.000261065,0.000261065
74,431.355,2.40043,1.92279,1.99778,0.685,0.65191,0.66323,0.43957,2.57154,2.14812,2.07746,0.000252066,0.000252066,0.000252066
75,437.104,2.37586,1.89404,2.02574,0.63765,0.7418,0.66634,0.42903,2.56658,2.08195,2.07205,0.000243067,0.000243067,0.000243067
76,442.819,2.34921,1.82924,2.01171,0.63634,0.69398,0.66004,0.431,2.54409,2.09428,2.06914,0.000234068,0.000234068,0.000234068
